SIRUTA,F1,F2,F3,F4,F5
23387,-0.06,-0.13,0.01,0.0,-0.01
23449,-0.06,-0.14,-0.07,-0.16,-0.34
23494,-0.04,-0.1,-0.1,-0.18,0.06
23644,-0.05,-0.12,-0.03,-0.07,0.0
23715,-0.15,-0.53,-0.32,0.74,-1.77
23797,-0.05,-0.05,0.06,0.14,-0.1
23868,-0.05,-0.15,-0.04,-0.02,0.04
23948,-0.05,-0.1,-0.1,-0.1,0.11
23975,-0.06,-0.16,-0.04,-0.03,0.03
24034,-0.05,-0.17,-0.02,0.16,-0.01
24089,-0.06,-0.2,-0.02,0.12,0.04
24187,-0.21,-0.63,-0.41,-0.46,-3.66
24276,-0.06,-0.13,-0.03,-0.05,0.02
24338,-0.05,-0.14,-0.01,-0.06,0.04
24427,-0.06,-0.16,-0.03,-0.01,0.03
24524,-0.07,-0.03,0.26,0.26,0.25
24631,-0.07,-0.06,0.07,0.23,-0.04
24711,-0.04,-0.1,-0.02,-0.06,0.19
24766,-0.09,-0.13,-0.17,0.24,0.06
24837,-0.06,-0.15,-0.03,-0.02,0.02
24999,-0.06,-0.16,-0.04,-0.01,0.02
25068,-0.04,-0.17,0.08,-0.23,-0.38
25148,-0.15,-0.43,-0.26,-0.29,-2.32
25228,-0.02,-0.07,-0.01,-0.16,0.04
25291,-0.06,-0.16,-0.03,-0.02,-0.0
25362,-0.04,0.0,-0.23,-0.25,0.23
25488,-0.06,-0.17,-0.02,0.03,0.02
25521,-0.05,-0.16,-0.03,-0.0,0.05
25629,-0.06,-0.16,-0.04,-0.01,0.02
25692,-0.05,-0.14,-0.04,-0.01,0.03
25745,-0.06,-0.16,-0.03,-0.02,0.0
25825,-0.21,-0.04,0.15,0.34,-0.3
25861,-0.06,-0.13,0.04,-0.01,-0.01
25932,-0.06,-0.16,-0.04,-0.02,0.03
26029,-0.06,-0.18,-0.07,-0.03,0.01
26083,-0.04,-0.16,-0.05,0.17,0.1
26118,-0.06,-0.17,-0.04,-0.01,0.02
26289,-0.04,-0.12,-0.13,-0.14,0.09
26320,-0.06,-0.21,-0.01,0.05,-0.41
26338,-0.07,0.17,0.36,0.47,0.5
26346,-0.03,-0.21,-0.27,-0.16,-0.11
26353,-0.06,-0.16,-0.04,-0.01,0.03
26361,-0.06,-0.14,-0.03,-0.02,0.04
26379,-0.06,-0.16,0.03,0.06,-0.0
26564,3.64,17.09,-8.59,-12.04,1.5
26582,0.08,0.95,-0.19,-1.55,-0.25
26653,0.02,1.1,-0.33,3.47,3.18
26699,0.17,-0.29,-1.47,-0.44,2.85
26742,-0.05,0.08,-0.03,0.21,0.03
26804,0.01,0.0,0.73,0.39,-0.07
26840,-0.0,1.18,0.32,-1.02,0.85
26877,-0.14,0.45,-1.21,1.53,-0.17
26920,-0.05,-0.17,-0.04,0.26,-0.0
26975,-0.09,-0.84,0.13,1.19,-0.45
27007,-0.05,-0.04,-0.11,-0.22,0.02
27070,-0.06,-0.18,-0.03,0.01,-0.1
27169,-0.05,-0.15,0.02,0.24,0.05
27212,-0.06,-0.04,0.13,0.18,-0.08
27285,-0.06,-0.12,-0.01,0.06,0.18
27329,-0.06,-0.15,-0.05,-0.04,0.04
27383,-0.06,-0.2,0.01,-0.08,-0.02
27436,-0.04,0.34,0.57,0.87,0.21
27506,-0.06,-0.16,-0.02,-0.03,-0.01
27560,-0.07,-0.26,0.08,-0.14,-0.4
27631,-0.29,-2.79,1.73,3.83,-3.31
27686,-0.02,-0.04,0.2,-0.12,0.28
27757,-0.05,-0.12,0.06,0.13,0.03
27846,-0.07,-0.16,0.09,0.24,-0.06
27908,-0.06,-0.16,-0.03,0.02,0.0
27935,-0.05,-0.15,0.02,-0.0,-0.11
27971,-0.05,-0.15,0.01,0.13,0.02
28077,-0.05,-0.16,-0.02,0.01,-0.03
28139,-0.06,-0.16,-0.02,-0.06,0.07
28193,-0.06,-0.18,-0.0,-0.02,-0.02
28246,-0.04,-0.07,-0.12,-0.23,0.06
28335,-0.05,-0.13,-0.11,-0.41,-0.1
28415,-0.06,-0.17,0.0,-0.0,0.0
28497,-0.06,-0.16,-0.04,-0.02,0.03
28530,-0.1,0.14,0.09,-0.34,-0.38
28610,-0.05,-0.12,0.02,0.07,0.08
28665,-0.05,-0.19,0.06,-0.13,-0.04
28709,-0.05,-0.09,0.02,-0.04,0.1
28763,-0.06,-0.18,-0.06,-0.07,-0.04
28816,-0.06,-0.18,-0.1,0.04,-0.01
28889,-0.06,-0.17,-0.04,-0.03,-0.01
28941,-0.04,-0.11,-0.15,-0.24,0.16
29001,-0.05,-0.18,-0.09,-0.06,-0.02
29038,-0.06,-0.2,0.0,-0.02,-0.11
29092,-0.03,0.02,-0.04,-0.25,0.21
29154,-0.05,-0.17,0.04,0.18,-0.19
29243,-0.12,-0.38,0.33,0.51,-0.57
29341,-0.08,-0.19,0.07,-0.0,0.02
29403,-0.03,-0.04,-0.01,0.14,0.09
29467,-0.05,0.0,0.15,0.02,0.07
29519,-0.02,0.0,-0.01,-0.23,-0.09
29573,-0.05,-0.22,-0.09,0.02,0.09
29662,-0.06,-0.11,0.01,-0.02,0.06
29724,-0.04,-0.04,0.04,-0.1,0.11
29760,-0.06,-0.16,-0.04,-0.02,0.01
29813,-0.03,-0.05,0.0,-0.32,0.21
29902,-0.05,-0.25,0.04,0.05,-0.11
29948,-0.06,-0.04,-0.23,0.02,0.3
30014,-0.03,0.36,-0.17,-0.14,0.56
30069,-0.05,-0.12,0.04,0.18,-0.71
30149,-0.08,0.16,0.13,-0.02,-0.05
30229,-0.06,-0.16,-0.03,-0.01,0.03
30274,-0.05,0.02,0.08,0.03,0.08
30336,-0.05,-0.12,0.02,0.05,-0.04
30416,-0.06,-0.12,0.01,-0.03,-0.11
30470,-0.06,-0.14,-0.03,-0.01,0.02
30568,-0.05,-0.43,0.28,0.29,-0.69
30648,-0.06,-0.19,-0.1,0.04,-0.05
30719,-0.06,-0.17,0.05,0.09,-0.03
30773,-0.06,0.08,-0.02,0.08,0.16
30844,-0.05,0.12,-0.15,-0.34,-0.11
30871,-0.12,-0.68,-0.03,0.44,-0.43
30915,-0.06,-0.07,0.53,1.27,0.05
30988,-0.06,-0.13,-0.05,-0.07,0.03
31011,-0.03,0.03,0.18,0.16,-0.09
31057,-0.07,-0.24,0.09,0.07,-0.1
31128,-0.06,-0.15,-0.01,-0.03,-0.02
31208,-0.06,-0.16,-0.03,-0.02,0.01
31262,-0.06,-0.03,0.2,0.61,0.08
31333,-0.06,-0.16,-0.03,0.01,0.02
31379,-0.04,-0.08,-0.01,-0.06,0.25
31422,-0.08,-0.21,0.09,0.12,-0.03
31510,-0.05,-0.21,0.02,-0.14,-0.13
31565,-0.07,-0.21,-0.02,0.11,-0.03
31609,-0.04,-0.12,0.0,0.1,0.0
31654,-0.06,-0.1,-0.07,-0.09,-0.03
31716,-0.03,0.06,0.39,-1.08,-0.41
31789,-0.05,0.02,0.05,-0.05,-0.02
31841,-0.05,-0.21,-0.05,0.02,0.12
31878,-0.07,-0.12,-0.02,-0.02,-0.08
31921,-0.05,0.14,-0.14,-0.31,0.05
31976,-0.06,0.13,-0.16,-0.19,-0.0
32027,0.04,0.06,-0.66,-2.61,1.89
32045,-0.06,-0.16,-0.04,-0.0,0.02
32090,-0.05,-0.13,-0.03,-0.07,0.07
32153,-0.05,0.06,0.0,-0.18,0.02
32161,-0.19,-1.46,-2.17,-1.46,-0.5
32179,-0.03,-0.1,0.02,0.24,-0.1
32187,-0.03,-0.09,-0.12,-0.27,0.08
32195,-0.04,-0.13,0.07,0.14,0.0
32201,-0.03,-0.08,-0.07,-0.05,0.17
32394,1.51,6.49,-0.4,-0.8,1.0
32483,0.0,-0.15,0.52,-0.72,-0.75
32544,-0.03,0.39,-0.09,0.99,0.63
32599,-0.02,0.08,0.22,-0.08,-0.79
32633,-0.03,-0.09,0.03,0.12,-0.0
32660,-0.08,-0.54,-0.87,0.16,-0.44
32704,-0.13,-0.38,-0.19,-0.04,-0.15
32768,-0.06,-0.16,-0.03,-0.01,0.03
32811,-0.09,-0.16,0.02,-0.01,-0.16
32884,-0.07,-0.28,-0.11,-0.02,-0.04
32955,-0.05,-0.23,-0.05,0.09,-0.22
33015,-0.05,-0.13,-0.03,0.0,0.05
33122,-0.03,-0.47,0.16,0.15,-0.67
33177,-0.05,-0.11,0.11,0.25,0.02
33202,-0.04,-0.08,0.02,0.33,0.02
33248,-0.05,0.02,0.14,0.22,0.0
33275,-0.05,-0.26,-0.27,0.27,0.22
33337,-0.05,-0.14,-0.05,-0.02,0.05
33364,-0.06,-0.11,0.02,-0.01,0.06
33382,-0.06,-0.12,0.14,0.18,0.0
33435,-0.05,0.04,-0.1,-0.02,-1.05
33514,-0.05,-0.13,0.03,-0.14,-0.01
33541,-0.06,-0.02,-0.01,-0.19,-0.11
33603,-0.05,-0.18,0.06,0.04,-0.11
33621,0.06,0.74,-0.04,-0.62,0.63
33658,-0.06,-0.16,-0.04,-0.01,0.02
33729,-0.04,-0.24,-0.04,0.19,-0.01
33765,-0.06,-0.14,-0.03,-0.02,0.02
33845,-0.06,-0.16,-0.04,-0.02,0.03
33881,-0.06,-0.16,-0.06,-0.05,0.02
33952,-0.08,-0.17,-0.02,0.06,0.01
33989,-0.05,-0.09,-0.0,0.07,0.03
34075,-0.02,-0.25,0.08,-0.41,0.17
34155,-0.06,-0.12,-0.04,-0.04,-0.0
34173,-0.14,-0.32,0.15,0.18,-0.48
34235,-0.04,-0.09,0.09,0.04,-0.23
34262,-0.06,-0.11,0.08,0.23,-0.42
34280,-0.08,-0.1,0.06,0.75,-0.45
34333,-0.03,0.04,0.26,0.05,-0.17
34360,-0.05,-0.09,-0.04,-0.04,0.1
34397,-0.06,-0.15,0.09,0.32,-0.03
34422,-0.06,-0.16,-0.04,-0.01,0.03
34477,-0.06,-0.16,-0.04,-0.01,0.02
34547,-0.06,-0.06,-0.1,-0.03,0.18
34618,-0.03,-0.02,-0.12,-0.12,0.19
34645,-0.05,-0.11,0.02,-0.02,0.1
34690,-0.12,0.09,0.41,1.93,0.52
34770,-0.04,-0.12,-0.06,-0.07,0.07
34850,-0.06,-0.16,-0.03,-0.0,0.01
34903,-0.03,-0.21,-0.25,-0.16,-0.25
34985,-0.08,-0.3,0.12,0.18,-0.29
35054,-0.03,-0.0,-0.08,-0.26,0.2
35090,-0.04,0.18,0.03,-0.25,0.04
35152,-0.06,-0.15,-0.03,-0.1,-0.07
35269,-0.1,-0.17,0.17,-0.03,-0.24
35312,-0.06,-0.16,-0.04,-0.01,0.02
35429,-0.06,-0.15,-0.01,0.02,0.03
35731,0.85,3.05,-2.75,5.07,0.36
35759,-0.09,0.65,0.65,0.38,0.36
35839,-0.13,-0.13,0.04,0.12,-0.1
35884,-0.03,-0.09,0.01,0.09,-0.0
35946,-0.05,-0.16,0.18,0.63,0.31
36006,0.0,0.62,1.17,0.6,0.4
36060,-0.05,-0.01,0.01,-0.02,0.31
36131,-0.05,-0.09,-0.07,-0.05,0.13
36202,-0.06,-0.14,0.02,0.04,0.04
36300,-0.07,-0.18,-0.01,-0.0,-0.05
36373,-0.06,-0.16,-0.04,-0.01,0.02
36426,-0.03,-0.03,0.09,-0.18,-0.0
36453,-0.06,-0.14,-0.03,-0.02,0.04
36499,-0.05,-0.16,-0.04,-0.02,0.04
36532,-0.06,-0.18,-0.04,0.01,0.01
36569,-0.05,-0.15,-0.06,-0.03,0.04
